time,T,H,L
20:23:10.407698,23.0,34.0,1018.0
20:23:22.800666,23.0,34.0,1017.0
20:23:35.167389,23.0,34.0,1017.0
20:23:47.560597,23.0,34.0,1018.0
20:23:59.991707,23.0,34.0,1016.0
20:24:12.363990,23.0,35.0,1017.0
20:24:24.732141,23.0,34.0,1017.0
20:24:37.093878,23.0,34.0,1016.0
20:24:49.434894,23.0,34.0,1017.0
20:25:01.835321,23.0,34.0,1017.0
20:25:14.208023,22.9,34.0,1017.0
20:25:26.621888,23.0,34.0,1017.0
20:25:38.971515,23.0,34.0,1017.0
20:25:51.316926,23.0,34.0,1017.0
20:26:03.656089,23.0,34.0,1016.0
20:26:16.004807,22.9,34.0,1017.0
20:26:28.371112,23.0,34.0,1017.0
20:26:40.709301,22.9,34.0,1017.0
20:26:53.058502,22.9,34.0,1017.0
20:27:05.475584,22.9,34.0,1016.0
20:27:17.836160,22.9,34.0,1018.0
20:27:30.215517,22.9,33.0,1017.0
20:27:42.592011,23.0,33.0,1016.0
20:27:54.939973,22.9,33.0,1017.0
20:28:07.285139,22.9,33.0,1016.0
20:28:19.665496,22.9,33.0,1018.0
20:28:32.012830,22.9,33.0,1017.0
20:28:44.467558,22.9,33.0,1017.0
20:28:56.807575,22.9,33.0,1016.0
20:29:09.182305,22.9,34.0,1017.0
20:29:21.567749,22.9,33.0,1017.0
20:29:33.915998,22.9,33.0,1016.0
20:29:46.263505,22.9,33.0,1016.0
20:29:58.605649,22.9,33.0,1017.0
20:30:11.022944,22.9,33.0,1016.0
20:30:23.403150,22.9,33.0,1017.0
20:30:35.743082,22.9,34.0,1016.0
20:30:48.087971,22.9,34.0,1017.0
20:31:00.465381,22.9,34.0,1015.0
20:31:12.811377,22.9,34.0,1017.0
20:31:25.160021,22.9,34.0,1017.0
20:31:37.499032,22.9,34.0,1018.0
20:31:49.931190,22.9,34.0,1017.0
20:32:02.280953,22.9,34.0,1017.0
20:32:14.629563,22.9,34.0,1016.0
20:32:26.976553,22.9,34.0,1017.0
20:32:39.329399,22.9,34.0,1017.0
20:32:51.707997,22.9,34.0,1017.0
20:33:04.060150,22.9,34.0,1017.0
20:33:16.440023,22.9,34.0,1018.0
20:33:28.860030,22.9,34.0,1017.0
20:33:41.202632,22.9,34.0,1016.0
20:33:53.549334,22.9,34.0,1016.0
20:34:05.896034,22.9,34.0,1016.0
20:34:18.258232,22.9,34.0,1017.0
20:34:30.608824,22.9,34.0,1017.0
20:34:42.962137,22.9,34.0,1017.0
20:34:55.407245,22.9,34.0,1016.0
20:35:07.768020,23.0,34.0,1018.0
20:35:20.154451,22.9,34.0,1016.0
20:35:32.553574,22.9,34.0,1016.0
20:35:44.903908,22.9,34.0,1014.0
20:35:57.258814,22.9,34.0,1017.0
20:36:09.608558,23.0,34.0,1017.0
20:36:21.956025,22.9,34.0,1017.0
20:36:34.376775,22.9,34.0,1018.0
20:36:46.736032,22.9,34.0,1017.0
20:36:59.082568,22.9,34.0,1016.0
20:37:11.440706,22.9,34.0,1017.0
20:37:23.787072,22.9,34.0,1014.0
20:37:36.132475,22.9,34.0,1017.0
20:37:48.514874,22.9,34.0,1016.0
20:38:00.937205,22.9,34.0,1016.0
20:38:13.330006,22.9,34.0,1018.0
20:38:25.678611,22.9,34.0,1017.0
20:38:38.030668,22.9,34.0,1016.0
20:38:50.414501,22.9,34.0,1017.0
20:39:02.759176,22.9,34.0,1017.0
20:39:15.120082,22.9,34.0,1016.0
20:39:27.484023,22.9,34.0,1017.0
20:39:39.909606,22.9,34.0,1016.0
20:39:52.262149,22.9,34.0,1013.0
20:40:04.600500,22.9,34.0,1017.0
20:40:16.953018,22.9,34.0,1013.0
20:40:29.341243,22.9,35.0,1017.0
20:40:41.689981,23.0,34.0,1017.0
20:40:54.042177,22.9,34.0,1018.0
20:41:06.495394,22.9,34.0,1017.0
20:41:18.841891,22.9,35.0,1017.0
20:41:31.192936,23.0,35.0,1018.0
20:41:43.553526,22.9,35.0,1016.0
20:41:55.902859,22.9,35.0,1018.0
20:42:08.290205,22.9,35.0,1017.0
20:42:20.638455,23.0,35.0,1018.0
20:42:32.992007,23.0,35.0,1014.0
20:42:45.425405,22.9,34.0,1017.0
20:42:57.778551,23.0,34.0,1016.0
20:43:10.138454,22.9,34.0,1017.0
20:43:22.490692,22.9,34.0,1017.0
20:43:34.840834,23.0,34.0,1016.0
20:43:47.192023,22.9,35.0,1016.0
20:43:59.543497,22.9,35.0,1017.0
20:44:11.974354,23.0,35.0,1017.0
20:44:24.369625,23.0,35.0,1018.0
20:44:36.756168,23.0,35.0,1017.0
20:44:49.110254,22.9,35.0,1016.0
20:45:01.460405,23.0,35.0,1018.0
20:45:13.808470,22.9,35.0,1016.0
20:45:26.159857,22.9,35.0,1016.0
20:45:38.540028,22.9,35.0,1018.0
20:45:50.963254,23.0,35.0,1017.0
20:46:03.318553,23.0,35.0,1017.0
20:46:15.672041,23.0,35.0,1015.0
20:46:28.027573,23.0,35.0,1017.0
20:46:40.394176,23.0,35.0,1017.0
20:46:52.750566,22.9,35.0,1017.0
20:47:05.107009,23.0,35.0,1017.0
20:47:17.550603,22.9,35.0,1017.0
20:47:29.907799,23.0,35.0,1018.0
20:47:42.304022,22.9,35.0,1017.0
20:47:54.657800,23.0,35.0,1017.0
20:48:07.018527,23.0,35.0,1014.0
20:48:19.370181,23.0,35.0,1016.0
20:48:31.721336,23.0,35.0,1017.0
20:48:44.075789,22.9,35.0,1017.0
20:48:56.531413,23.0,35.0,1015.0
20:49:08.899232,22.9,35.0,1017.0
20:49:21.288031,23.0,35.0,1013.0
20:49:33.637048,23.0,35.0,1017.0
20:49:45.989217,23.0,35.0,1017.0
20:49:58.342188,22.9,35.0,1017.0
20:50:10.691923,22.9,35.0,1017.0
20:50:23.041908,22.9,35.0,1017.0
20:50:35.474448,23.0,35.0,1017.0
20:50:47.828684,23.0,35.0,1016.0
20:51:00.217750,22.9,35.0,1017.0
20:51:12.605055,23.0,35.0,1017.0
20:51:24.960068,23.0,35.0,1018.0
20:51:37.340468,22.9,35.0,1017.0
20:51:49.694377,22.9,35.0,1017.0
20:52:02.170300,22.9,35.0,1017.0
20:52:14.557704,23.0,35.0,1016.0
20:52:26.914962,23.0,35.0,1016.0
20:52:39.272043,23.0,35.0,1017.0
20:52:51.622795,23.1,35.0,1016.0
20:53:03.980034,23.0,35.0,1017.0
20:53:16.340550,23.0,35.0,1014.0
20:53:28.692009,23.0,35.0,1017.0
20:53:41.120051,23.0,35.0,1016.0
20:53:53.472048,23.0,35.0,1017.0
20:54:05.827107,23.0,35.0,1017.0
20:54:18.187507,23.0,35.0,1017.0
20:54:30.537120,23.0,35.0,1017.0
20:54:42.893085,23.0,35.0,1017.0
20:54:55.254828,23.0,35.0,1018.0
20:55:07.718732,22.9,35.0,1017.0
20:55:20.076071,22.9,35.0,1014.0
20:55:32.429397,23.0,35.0,1017.0
20:55:44.776825,23.0,35.0,1016.0
20:55:57.132009,23.0,35.0,1013.0
20:56:09.496299,23.0,35.0,1012.0
20:56:21.844851,22.9,35.0,1017.0
20:56:34.244610,23.0,35.0,1017.0
20:56:46.672017,23.0,35.0,1017.0
20:56:59.032029,23.0,35.0,1017.0
20:57:11.386708,23.0,35.0,1016.0
20:57:23.739567,23.0,35.0,1018.0
20:57:36.091319,23.0,35.0,1017.0
20:57:48.478642,23.0,35.0,1016.0
20:58:00.832328,23.0,35.0,1017.0
20:58:13.260157,23.0,35.0,1017.0
20:58:25.652850,23.0,36.0,1017.0
20:58:38.010414,23.0,36.0,1018.0
20:58:50.409469,23.0,35.0,1017.0
20:59:02.768597,23.0,35.0,1017.0
20:59:15.128012,23.0,36.0,1016.0
20:59:27.521830,23.0,35.0,1017.0
20:59:39.880599,23.0,35.0,1017.0
20:59:52.316589,23.0,35.0,1017.0
21:00:04.697435,22.9,35.0,1017.0
21:00:17.048026,23.0,35.0,1014.0
21:00:29.403182,23.0,35.0,1017.0
21:00:41.757981,22.9,36.0,1018.0
21:00:54.119895,23.0,35.0,1017.0
21:01:06.507227,23.0,35.0,1017.0
21:01:18.867100,23.0,35.0,1017.0
21:01:31.304538,22.9,36.0,1016.0
21:01:43.658782,22.9,35.0,1018.0
21:01:56.020526,22.9,36.0,1017.0
21:02:08.382141,22.9,36.0,1017.0
21:02:20.739055,23.0,35.0,1017.0
21:02:33.100812,23.0,36.0,1016.0
21:02:45.457083,23.0,35.0,1017.0
21:02:57.889269,23.0,36.0,1017.0
21:03:10.295373,22.9,36.0,1018.0
21:03:22.657674,22.9,36.0,1016.0
21:03:35.019265,23.0,36.0,1017.0
21:03:47.415551,23.0,35.0,1017.0
21:03:59.784301,22.9,36.0,1014.0
21:04:12.143472,23.0,36.0,1017.0
21:04:24.576582,22.9,36.0,1017.0
21:04:36.976984,22.9,36.0,1017.0
21:04:49.345989,22.9,36.0,1017.0
21:05:01.703623,22.9,36.0,1016.0
21:05:14.067283,22.9,36.0,1018.0
21:05:26.427782,22.9,35.0,1017.0
21:05:38.820356,23.0,35.0,1017.0
21:05:51.292210,22.9,35.0,1016.0
21:06:03.649410,22.9,36.0,1017.0
21:06:16.010230,22.9,35.0,1016.0
21:06:28.394033,23.0,35.0,1017.0
21:06:40.751624,22.9,36.0,1017.0
21:06:53.111443,22.9,35.0,1014.0
21:07:05.454689,22.9,36.0,1011.0
21:07:17.813750,22.9,36.0,1010.0
21:07:30.230052,22.9,35.0,1015.0
21:07:42.571973,22.9,35.0,1015.0
21:07:54.915999,22.9,35.0,1015.0
21:08:07.265019,22.9,36.0,1016.0
21:08:19.604034,22.9,36.0,1014.0
21:08:31.944008,22.9,35.0,1016.0
21:08:44.285106,22.9,35.0,1014.0
21:08:56.703994,22.9,35.0,1014.0
21:09:09.052032,23.0,35.0,1016.0
21:09:21.427555,23.0,36.0,1014.0
21:09:33.772319,22.9,36.0,1015.0
21:09:46.124034,23.0,35.0,1015.0
21:09:58.464093,23.0,35.0,1015.0
21:10:10.806112,23.0,35.0,1015.0
21:10:23.182327,23.0,35.0,1014.0
21:10:35.595913,22.9,35.0,1014.0
21:10:47.936037,23.0,35.0,1015.0
21:11:00.319411,22.9,35.0,1015.0
21:11:12.704033,23.0,35.0,1015.0
21:11:25.055872,23.0,35.0,1015.0
21:11:37.401454,23.0,35.0,1015.0
21:11:49.745062,23.0,35.0,1015.0
21:12:02.128053,23.0,36.0,1011.0
21:12:14.547076,23.0,36.0,1014.0
21:12:26.928027,23.0,36.0,1014.0
21:12:39.314741,23.0,36.0,1015.0
21:12:51.658251,22.9,36.0,1014.0
21:13:04.004012,23.0,36.0,1014.0
21:13:16.357522,23.0,36.0,1015.0
21:13:28.703948,23.0,35.0,1015.0
21:13:41.045178,23.0,35.0,1014.0
21:13:53.503313,23.0,35.0,1016.0
21:14:05.843202,23.0,35.0,1015.0
21:14:18.193064,22.9,36.0,1014.0
21:14:30.538454,22.9,36.0,1014.0
21:14:42.883862,23.0,36.0,1011.0
21:14:55.229584,23.0,35.0,1014.0
21:15:07.612544,23.0,36.0,1014.0
21:15:19.956322,23.0,36.0,1014.0
21:15:32.411882,23.0,36.0,1015.0
21:15:44.755991,22.9,36.0,1014.0
21:15:57.108000,23.0,36.0,1015.0
21:16:09.491279,22.9,36.0,1014.0
21:16:21.843928,23.0,36.0,1015.0
21:16:34.193406,23.0,36.0,1015.0
21:16:46.534605,23.0,36.0,1015.0
21:16:58.956232,22.9,36.0,1014.0
21:17:11.299424,22.9,36.0,1014.0
21:17:23.639519,23.0,36.0,1015.0
21:17:35.983994,23.0,36.0,1014.0
21:17:48.361939,22.9,36.0,1013.0
21:18:00.708925,23.0,36.0,1013.0
21:18:13.057629,23.0,36.0,1014.0
21:18:25.407909,22.9,36.0,1017.0
21:18:37.826284,22.9,36.0,1017.0
21:18:50.177868,23.0,36.0,1017.0
21:19:02.561016,22.9,36.0,1016.0
21:19:14.911899,23.0,36.0,1017.0
21:19:27.265897,23.0,37.0,1017.0
21:19:39.608022,23.0,36.0,1016.0
21:19:51.948460,23.0,36.0,820.0
21:20:04.299494,22.9,37.0,786.0
21:20:16.727870,22.9,37.0,724.0
21:20:29.086407,23.0,37.0,673.0
21:20:41.527881,23.0,38.0,646.0
21:20:53.919998,23.0,38.0,630.0
21:21:06.319509,23.0,38.0,829.0
21:21:18.741406,23.0,39.0,628.0
21:21:31.096000,23.0,39.0,651.0
21:21:43.440030,23.0,39.0,664.0
21:21:56.001846,23.0,40.0,594.0
21:22:08.515235,23.1,40.0,740.0
21:22:21.300014,23.2,42.0,875.0
21:22:34.011148,23.2,40.0,731.0
21:22:46.748020,23.2,38.0,753.0
21:22:59.458316,23.2,40.0,900.0
21:23:12.156038,23.1,39.0,887.0
21:23:25.001368,22.9,43.0,704.0
21:23:37.678763,22.9,43.0,688.0
21:23:50.441659,22.8,43.0,689.0
21:24:03.163986,22.8,42.0,705.0
21:24:15.868009,22.7,41.0,681.0
21:24:28.645005,22.7,42.0,831.0
21:24:41.356128,22.7,44.0,822.0
21:24:54.153621,22.6,43.0,696.0
21:25:07.015470,22.7,44.0,659.0
21:25:19.724030,22.6,44.0,662.0
21:25:32.298060,22.7,43.0,660.0
21:25:44.812737,22.6,43.0,675.0
21:25:57.304550,22.6,43.0,665.0
21:26:09.856986,22.5,42.0,659.0
21:26:22.340475,22.6,43.0,675.0
21:26:34.916035,22.6,43.0,784.0
21:26:47.479998,22.5,43.0,665.0
21:26:59.960499,22.5,43.0,612.0
21:27:12.455204,22.4,45.0,743.0
21:27:24.946617,22.5,46.0,1020.0
21:27:37.424066,22.4,46.0,1020.0
21:27:49.899995,22.5,46.0,1021.0
21:28:02.392617,22.4,46.0,1021.0
21:28:14.866526,22.5,46.0,1020.0
21:28:27.448739,22.5,45.0,1020.0
21:28:39.961189,22.5,46.0,1020.0
21:28:52.464119,22.5,47.0,1022.0
21:29:04.945036,22.5,47.0,1018.0
21:29:17.445104,22.6,47.0,1020.0
21:29:29.926786,22.6,47.0,1021.0
21:29:42.442269,22.5,47.0,1020.0
21:29:54.916050,22.6,47.0,1017.0
21:30:07.500028,22.5,47.0,1016.0
21:30:19.983222,22.6,47.0,1017.0
21:30:32.467299,22.6,47.0,1017.0
21:30:44.952064,22.5,47.0,1019.0
21:30:57.461562,22.5,47.0,1019.0
21:31:09.957127,22.5,47.0,1018.0
21:31:22.469997,22.5,47.0,1019.0
21:31:35.038633,22.6,47.0,1022.0
21:31:47.521495,22.5,47.0,1021.0
21:31:59.996031,22.5,47.0,1016.0
21:32:12.475537,22.5,47.0,1018.0
21:32:25.196687,22.5,47.0,1016.0
21:32:37.903989,22.5,48.0,1021.0
21:32:50.612790,22.5,47.0,1020.0
21:33:03.359415,22.5,47.0,1019.0
21:33:16.194576,22.5,47.0,1020.0
21:33:28.875906,22.5,47.0,1021.0
21:33:41.569001,22.5,47.0,1020.0
21:33:54.351962,22.4,47.0,1022.0
21:34:06.831236,22.5,48.0,1021.0
21:34:19.387115,22.5,48.0,1020.0
21:34:31.875907,22.5,48.0,1021.0
21:34:44.365181,22.5,47.0,1020.0
21:34:56.916887,22.5,48.0,1020.0
21:35:09.459968,22.5,48.0,1021.0
21:35:22.285052,22.5,47.0,1020.0
21:35:34.986546,22.4,47.0,1018.0
